"Title","Path","Visits","Visitors"
"常见问题清单","article-list.md","9","0"
"联系我们","contact.md","1","0"
"未签约学员数据导入模板","data-template.md","2","0"
"系统百问","kami100.md","2","0"
"打印控件","printer.md","4","0"
"系统开通后服务流程","process.md","2","0"
"会员卡管理-卡米智慧校区","合同管理/会员卡管理.md","8","0"
"合同审核-卡米智慧校区","合同管理/合同审核.md","12","0"
"签订合同-卡米智慧校区","合同管理/签订合同.md","8","0"
"订金管理-卡米智慧校区","合同管理/订金管理.md","4","0"
"课时管理-卡米智慧校区","合同管理/课时管理.md","18","0"
"名单分配-卡米智慧校区","名单的录入与分配/名单分配.md","16","0"
"名单导入-卡米智慧校区","名单的录入与分配/名单录入.md","51","0"
"合同信息设置-卡米智慧校区","基础数据设置/合同信息设置.md","19","0"
"基础信息设置-卡米智慧校区","基础数据设置/基础信息设置.md","11","0"
"学员信息设置-卡米智慧校区","基础数据设置/学员信息设置.md","13","0"
"教务信息设置-卡米智慧校区","基础数据设置/教务信息设置.md","21","0"
"学员查询-卡米智慧校区","学员跟进/学员查询.md","3","0"
"学员跟进-卡米智慧校区","学员跟进/学员跟进.md","11","0"
"微信服务号-卡米智慧校区","应用市场/微信服务号-家校互联.md","21","0"
"微信服务号应用开通-卡米智慧校区","应用市场/微信服务号-开通及设置.md","8","0"
"排课管理-卡米智慧校区","教学管理/排课管理.md","7","0"
"新签约学员排课-卡米智慧校区","教学管理/新签约学员排课.md","5","0"
"日常教务-卡米智慧校区","教学管理/日常教务.md","5","0"
"查看课程表-卡米智慧校区","教学管理/查看课程表.md","7","0"
"签到管理-卡米智慧校区","教学管理/签到管理.md","55","0"
"卡米智慧校区更新记录-卡米智慧校区","更新记录/卡米智慧校区更新记录.md","8","0"
"会员排课为什么会是体验-卡米智慧校区","注册开通与实施/会员排课为什么会是体验？.md","6","0"
"卡米智慧校区常用帮助快速导航","注册开通与实施/卡米智慧校区常用帮助简要-导航.md","29","0"
"卡米智慧校区开通及实施步骤","注册开通与实施/卡米智慧校区开通及实话步骤.md","7","0"
